"Dye.Pattern","Sex","Right.Tag","Left.Tag","Numerical.Age","Mass","Length","Month","Day","Year","Zygomatic.Arch","Social.Group","vijay"
"-","Female",536,560,4,5.48,72,7,24,2004,67.8,"West",1
10,"Male",120,121,1,1.05,42,5,29,2000,50.7,"Camp Creek",1
10,"Male",120,121,1,2.13,58.5,7,11,2000,54.7,"Camp Creek",1
10,"Male",120,121,1,2.6,57,7,31,2000,56.2,"Camp Creek",1
10,"Male",120,121,1,3.68,60,8,17,2000,60.3,"Camp Creek",1
10,"Male",120,121,2,2.6,54,6,19,2001,59.5,"Camp Creek",1
10,"Male",120,121,2,2.73,60,6,24,2001,60.3,"Camp Creek",1
10,"Male",120,121,2,2.35,58,6,25,2001,52.2,"Camp Creek",1
10,"Male",120,121,2,4.8,62.5,8,13,2001,68.8,"Camp Creek",1
10,"Male",120,121,3,3.43,65,5,31,2002,65.5,"Camp Creek",1
10,"Male",120,121,3,4.94,61,6,21,2002,67.3,"Camp Creek",1
10,"Male",120,121,4,4.2,66,6,1,2003,71.8,"Camp Creek",1
10,"Male",120,121,1,1.45,47,6,19,2000,53.2,"Camp Creek",1
11,"Female",62,63,0,0.86,38,8,3,1999,42.9,"Camp Creek",1
11,"Female",62,63,0,1.25,40,8,26,1999,47.3,"Camp Creek",1
11,"Female",62,63,1,0.88,39,6,2,2000,47.7,"Camp Creek",1
11,"Female",62,63,2,2.4,67,6,25,2001,59.1,"Camp Creek",1
11,"Female",62,63,2,2.65,58,7,5,2001,59.6,"Camp Creek",1
11,"Female",62,63,2,3.65,60,7,20,2001,60.6,"Camp Creek",1
11,"Female",62,63,3,2.75,58,5,20,2002,61.7,"Camp Creek",1
11,"Female",62,63,2,"NA",54,6,19,2001,59.1,"Camp Creek",1
12,"Male",19,20,0,1.7,39,8,26,1999,50.4,"Camp Creek",1
12,"Male",19,20,1,1.3,44,6,9,2000,52.1,"Camp Creek",1
12,"Male",19,20,1,2.33,55.5,7,11,2000,56.9,"Camp Creek",1
12,"Male",19,20,0,0.48,30.5,7,13,1999,42.6,"Camp Creek",1
12,"Male",19,20,1,3.5,57,8,10,2000,63.3,"Camp Creek",1
12,"Male",19,20,2,2.9,60,6,19,2001,61.3,"Camp Creek",1
12,"Male",19,20,2,3.15,57,6,25,2001,64.2,"Camp Creek",1
12,"Male",19,20,1,3.13,57,7,31,2000,57,"Camp Creek",1
13,"Male",123,124,2,"NA","NA",6,4,2000,"NA","Camp Creek",1
13,"Male",123,124,2,2.65,60,6,11,2000,62.8,"Camp Creek",1
13,"Male",123,124,2,"NA","NA",7,11,2000,"NA","Camp Creek",1
13,"Male",123,124,3,3.63,63,6,18,2001,69.7,"Camp Creek",1
13,"Male",123,124,3,4.38,"NA",6,26,2001,71.4,"Camp Creek",1
13,"Male",123,124,4,3.33,51,5,19,2002,69.4,"Camp Creek",1
13,"Male",123,124,2,2.35,56,6,2,2000,62.9,"Camp Creek",1
14,"Male",27,122,0,0.3,26,7,13,1999,37,"Camp Creek",1
14,"Male",27,122,1,0.8,32,5,29,2000,44.5,"Camp Creek",1
14,"Male",27,122,1,0.9,34,6,9,2000,45.7,"Camp Creek",1
14,"Male",27,122,1,1.15,45.5,6,20,2000,45.4,"Camp Creek",1
14,"Male",27,122,1,2.25,51,7,31,2000,55.5,"Camp Creek",1
14,"Male",27,122,1,0.75,40,6,2,2000,44.9,"Camp Creek",1
14,"Male",27,122,2,2.25,"NA",6,25,2001,53.9,"Camp Creek",1
14,"Male",27,122,2,2.8,55,7,4,2001,59.6,"Camp Creek",1
14,"Male",27,122,2,2.75,"NA",7,5,2001,58.3,"Camp Creek",1
14,"Male",27,122,2,3.65,59,7,20,2001,62,"Camp Creek",1
14,"Male",27,122,2,4.28,"NA",8,13,2001,"NA","Camp Creek",1
